"Id";"ActiveDate";"ActiveHour";"TotalIntensity";"AverageIntensity";"StepTotal"
1503960366;"2016-04-29";"09:00:00";33.0;0.6;1820
1503960366;"2016-04-16";"21:00:00";13.0;0.2;463
1503960366;"2016-04-23";"09:00:00";17.0;0.3;285
1503960366;"2016-04-29";"10:00:00";4.0;0.1;44
1503960366;"2016-05-02";"17:00:00";12.0;0.2;340
1503960366;"2016-04-23";"10:00:00";4.0;0.1;49
1503960366;"2016-04-29";"11:00:00";4.0;0.1;104
1503960366;"2016-04-23";"11:00:00";11.0;0.2;703
1503960366;"2016-05-02";"18:00:00";9.0;0.2;227
1503960366;"2016-04-23";"12:00:00";49.0;0.8;1597
1503960366;"2016-04-23";"13:00:00";51.0;0.9;1453
1503960366;"2016-05-02";"19:00:00";13.0;0.2;235
1503960366;"2016-04-23";"14:00:00";20.0;0.3;202
1503960366;"2016-04-23";"15:00:00";15.0;0.3;158
1503960366;"2016-05-02";"20:00:00";105.0;1.8;3903
1503960366;"2016-04-23";"16:00:00";52.0;0.9;2008
1503960366;"2016-05-02";"21:00:00";25.0;0.4;1427
1503960366;"2016-05-02";"22:00:00";28.0;0.5;945
1503960366;"2016-05-02";"23:00:00";17.0;0.3;404
1503960366;"2016-05-03";"00:00:00";3.0;0.1;55
1503960366;"2016-05-03";"01:00:00";6.0;0.1;79
1503960366;"2016-05-03";"02:00:00";1.0;0.0;20
1503960366;"2016-05-03";"03:00:00";5.0;0.1;110
1503960366;"2016-04-16";"22:00:00";3.0;0.1;42
1503960366;"2016-04-16";"23:00:00";5.0;0.1;92
1503960366;"2016-05-03";"04:00:00";0.0;0.0;0
1503960366;"2016-04-29";"12:00:00";6.0;0.1;214
1503960366;"2016-05-03";"05:00:00";0.0;0.0;0
1503960366;"2016-05-03";"06:00:00";2.0;0.0;16
1503960366;"2016-04-29";"13:00:00";6.0;0.1;41
1503960366;"2016-05-03";"07:00:00";3.0;0.1;23
1503960366;"2016-04-29";"14:00:00";56.0;0.9;1711
1503960366;"2016-04-29";"15:00:00";23.0;0.4;1076
1503960366;"2016-05-03";"08:00:00";11.0;0.2;158
1503960366;"2016-04-29";"16:00:00";10.0;0.2;285
1503960366;"2016-05-03";"09:00:00";24.0;0.4;1391
1503960366;"2016-04-29";"17:00:00";9.0;0.2;380
1503960366;"2016-04-29";"18:00:00";5.0;0.1;118
1503960366;"2016-05-03";"10:00:00";25.0;0.4;955
1503960366;"2016-04-23";"17:00:00";26.0;0.4;1472
1503960366;"2016-04-29";"19:00:00";11.0;0.2;267
1503960366;"2016-04-29";"20:00:00";16.0;0.3;386
1503960366;"2016-05-03";"11:00:00";12.0;0.2;297
1503960366;"2016-04-17";"00:00:00";0.0;0.0;0
1503960366;"2016-04-29";"21:00:00";20.0;0.3;1366
1503960366;"2016-04-23";"18:00:00";66.0;1.1;2569
1503960366;"2016-04-17";"01:00:00";0.0;0.0;0
1503960366;"2016-05-03";"12:00:00";17.0;0.3;396
1503960366;"2016-04-23";"19:00:00";2.0;0.0;29
1503960366;"2016-04-17";"02:00:00";0.0;0.0;0
1503960366;"2016-04-23";"20:00:00";9.0;0.2;142
1503960366;"2016-04-17";"03:00:00";1.0;0.0;8
1503960366;"2016-05-03";"13:00:00";23.0;0.4;309
1503960366;"2016-04-23";"21:00:00";54.0;0.9;2432
1503960366;"2016-04-17";"04:00:00";0.0;0.0;0
1503960366;"2016-04-23";"22:00:00";25.0;0.4;709
1503960366;"2016-05-03";"14:00:00";26.0;0.4;384
1503960366;"2016-04-23";"23:00:00";6.0;0.1;231
1503960366;"2016-04-24";"00:00:00";10.0;0.2;141
1503960366;"2016-04-24";"01:00:00";2.0;0.0;42
1503960366;"2016-04-24";"02:00:00";0.0;0.0;0
1503960366;"2016-05-03";"15:00:00";46.0;0.8;1719
1503960366;"2016-04-24";"03:00:00";0.0;0.0;0
1503960366;"2016-05-03";"16:00:00";33.0;0.6;870
1503960366;"2016-04-24";"04:00:00";1.0;0.0;8
1503960366;"2016-05-03";"17:00:00";18.0;0.3;690
1503960366;"2016-05-03";"18:00:00";86.0;1.4;3119
1503960366;"2016-04-24";"05:00:00";0.0;0.0;0
1503960366;"2016-04-24";"06:00:00";1.0;0.0;7
1503960366;"2016-04-24";"07:00:00";0.0;0.0;0
1503960366;"2016-04-29";"22:00:00";27.0;0.5;1111
1503960366;"2016-04-24";"08:00:00";1.0;0.0;8
1503960366;"2016-04-24";"09:00:00";8.0;0.1;76
1503960366;"2016-04-29";"23:00:00";56.0;0.9;1757
1503960366;"2016-05-03";"19:00:00";5.0;0.1;140
1503960366;"2016-04-24";"10:00:00";26.0;0.4;492
1503960366;"2016-04-30";"00:00:00";1.0;0.0;19
1503960366;"2016-04-24";"11:00:00";12.0;0.2;149
1503960366;"2016-04-30";"01:00:00";7.0;0.1;65
1503960366;"2016-05-03";"20:00:00";1.0;0.0;6
1503960366;"2016-04-30";"02:00:00";0.0;0.0;0
1503960366;"2016-05-03";"21:00:00";37.0;0.6;1333
1503960366;"2016-04-30";"03:00:00";1.0;0.0;6
1503960366;"2016-04-24";"12:00:00";12.0;0.2;548
1503960366;"2016-04-30";"04:00:00";0.0;0.0;0
1503960366;"2016-05-03";"22:00:00";58.0;1.0;2549
1503960366;"2016-04-24";"13:00:00";12.0;0.2;394
1503960366;"2016-04-30";"05:00:00";0.0;0.0;0
1503960366;"2016-04-24";"14:00:00";1.0;0.0;26
1503960366;"2016-05-03";"23:00:00";10.0;0.2;484
1503960366;"2016-04-24";"15:00:00";2.0;0.0;27
